Symbol,dividendRate,beta,52WeekChange,shortName,longName,forwardEps,bookValue,priceToBook,shortRatio
ILMN,,0.971318,,"Illumina, Inc.","Illumina, Inc.",7.2,33.712,11.824275,2.27
INCY,,0.801985,,Incyte Corporation,Incyte Corporation,4.49,11.897,6.9563756,3.92
INFO,0.8,0.956977,,IHS Markit Ltd.,IHS Markit Ltd.,3.52,21.809,4.7938924,5.01
INTC,1.39,0.660231,,Intel Corporation,Intel Corporation,4.59,19.764,2.8374825,1.69
INTU,2.36,0.997242,,Intuit Inc.,Intuit Inc.,9.8,32.37,13.389868,1.99
IP,2.05,1.047986,,International Paper Company,International Paper Company,5.17,19.806,3.207614,2.34
IPG,1.08,1.035852,,"Interpublic Group of Companies,","The Interpublic Group of Companies, Inc.",2.34,7.309,4.5450816,3.18
IPGP,,1.395477,,IPG Photonics Corporation,IPG Photonics Corporation,6.71,48.53,4.2013187,4.93
IQV,,1.404302,,"IQVIA Holdings, Inc.",IQVIA Holdings Inc.,9.85,31.07,7.6910205,3.76
IR,,1.553516,,Ingersoll Rand Inc.,Ingersoll Rand Inc.,2.06,21.358,2.2881355,2.8
IRM,2.47,0.798124,,Iron Mountain Incorporated (Del,Iron Mountain Incorporated,1.43,3.943,10.902866,19.7
ISRG,,0.997793,,"Intuitive Surgical, Inc.","Intuitive Surgical, Inc.",15.8,85.756,9.620202,2.69
IT,,1.613899,,"Gartner, Inc.","Gartner, Inc.",5.64,12.274,18.897669,1.56
ITW,4.56,1.114726,,Illinois Tool Works Inc.,Illinois Tool Works Inc.,9.24,10.341,22.434002,2.99
IVZ,0.68,1.307225,,Invesco Ltd,Invesco Ltd.,2.96,22.835,1.1771404,3.02
J,0.84,0.900717,,Jacobs Engineering Group Inc.,Jacobs Engineering Group Inc.,,,,3.08
JBHT,1.2,1.044125,,"J.B. Hunt Transport Services, I","J.B. Hunt Transport Services, Inc.",7.62,25.76,6.6261644,3.65
JCI,1.08,1.121897,,Johnson Controls International ,Johnson Controls International plc,3.12,24.693,2.6120763,1.82
JKHY,1.84,0.57915,,"Jack Henry & Associates, Inc.","Jack Henry & Associates, Inc.",4.47,20.313,7.6556883,5.05
JNJ,4.24,0.722559,,Johnson & Johnson,Johnson & Johnson,10.4,25.006,6.836759,2
JNPR,0.8,0.845008,,"Juniper Networks, Inc.","Juniper Networks, Inc.",1.89,13.53,1.9756098,6.46
JPM,3.6,1.211252,,JP Morgan Chase & Co.,JPMorgan Chase & Co.,11.96,82.307,1.9762597,1.04
K,2.32,0.661334,,Kellogg Company,Kellogg Company,4.16,9.049,7.3488784,6.85
KEY,0.74,1.552675,,KeyCorp,KeyCorp,1.96,16.177,1.4291897,1.15
KEYS,,0.950358,,Keysight Technologies Inc.,"Keysight Technologies, Inc.",6.33,17.963,7.774871,7.38
KHC,1.6,1.136789,,The Kraft Heinz Company,The Kraft Heinz Company,2.66,41.119,1.0732266,3.39
KIM,0.68,1.504136,,Kimco Realty Corporation,Kimco Realty Corporation,0.56,13.066,1.5590081,4.66
KLAC,3.6,1.275234,,KLA Corporation,KLA Corporation,16.9,20.311,15.269559,1.62
KMB,4.56,0.553778,,Kimberly-Clark Corporation,Kimberly-Clark Corporation,7.93,1.534,86.27771,3.89
KMI,1.08,1.137892,,"Kinder Morgan, Inc.","Kinder Morgan, Inc.",0.92,14.213,1.317104,1.97
KMX,,1.672917,,CarMax Inc,"CarMax, Inc.",6.39,26.748,4.3621955,3.13
KO,1.68,0.620518,,Coca-Cola Company (The),The Coca-Cola Company,2.35,4.722,11.567132,1.48
KR,0.72,0.363485,,Kroger Company (The),The Kroger Co.,2.89,12.633,2.8963823,6.08
KSU,2.16,1.075565,,Kansas City Southern,Kansas City Southern,10.48,46.629,6.3265347,1.4
L,0.25,0.916161,,Loews Corporation,Loews Corporation,3.4,66.342,0.87033856,1.94
LB,,1.79316,,"L Brands, Inc.","L Brands, Inc.",4.93,-2.381,,2.48
LDOS,1.36,0.937672,,"Leidos Holdings, Inc.","Leidos Holdings, Inc.",7.15,27.197,3.7776225,1.69
